variable,pct_missing
om_pct,0.2846310252201164
soilp_h,0.26549209073272645
soilk_ppm,0.2609964930607372
soilp_ppm,0.2609964930607372
previous_crop,0.12800328309207581
mean_dayl_s_apr,0.061595284285927476
mean_srad_w_m_2_apr,0.061595284285927476
mean_tmax_deg_c_apr,0.061595284285927476
mean_tmin_deg_c_apr,0.061595284285927476
mean_vp_pa_apr,0.061595284285927476
sum_prcp_mm_day_apr,0.061595284285927476
sum_swe_kg_m_2_apr,0.061595284285927476
mean_dayl_s_may,0.061595284285927476
mean_srad_w_m_2_may,0.061595284285927476
mean_tmax_deg_c_may,0.061595284285927476
mean_tmin_deg_c_may,0.061595284285927476
mean_vp_pa_may,0.061595284285927476
sum_prcp_mm_day_may,0.061595284285927476
sum_swe_kg_m_2_may,0.061595284285927476
mean_dayl_s_jun,0.061595284285927476
mean_srad_w_m_2_jun,0.061595284285927476
mean_tmax_deg_c_jun,0.061595284285927476
mean_tmin_deg_c_jun,0.061595284285927476
mean_vp_pa_jun,0.061595284285927476
sum_prcp_mm_day_jun,0.061595284285927476
sum_swe_kg_m_2_jun,0.061595284285927476
mean_dayl_s_jul,0.061595284285927476
mean_srad_w_m_2_jul,0.061595284285927476
mean_tmax_deg_c_jul,0.061595284285927476
mean_tmin_deg_c_jul,0.061595284285927476
mean_vp_pa_jul,0.061595284285927476
sum_prcp_mm_day_jul,0.061595284285927476
sum_swe_kg_m_2_jul,0.061595284285927476
mean_dayl_s_aug,0.061595284285927476
mean_srad_w_m_2_aug,0.061595284285927476
mean_tmax_deg_c_aug,0.061595284285927476
mean_tmin_deg_c_aug,0.061595284285927476
mean_vp_pa_aug,0.061595284285927476
sum_prcp_mm_day_aug,0.061595284285927476
sum_swe_kg_m_2_aug,0.061595284285927476
mean_dayl_s_sep,0.061595284285927476
mean_srad_w_m_2_sep,0.061595284285927476
mean_tmax_deg_c_sep,0.061595284285927476
mean_tmin_deg_c_sep,0.061595284285927476
mean_vp_pa_sep,0.061595284285927476
sum_prcp_mm_day_sep,0.061595284285927476
sum_swe_kg_m_2_sep,0.061595284285927476
mean_dayl_s_oct,0.061595284285927476
mean_srad_w_m_2_oct,0.061595284285927476
mean_tmax_deg_c_oct,0.061595284285927476
mean_tmin_deg_c_oct,0.061595284285927476
mean_vp_pa_oct,0.061595284285927476
sum_prcp_mm_day_oct,0.061595284285927476
sum_swe_kg_m_2_oct,0.061595284285927476
longitude,0.0479965676764662
latitude,0.0479965676764662
