trees,tree_depth,min_n,loss_reduction,sample_size,mtry,learn_rate
1302,8,12,0.6458690815918031,0.9998659141827375,10,0.004334198978245428
1093,9,26,5.652188304949689e-5,0.855904016426066,12,0.007295136536695934
1318,8,9,2.1217341509829998e-5,0.5160939042875543,9,0.010024638975228033
1077,9,18,6.918965930989958e-4,0.5341980374790728,7,0.037447313216065606
1964,7,40,0.5458066391815503,0.8016212667513173,8,0.0013712569205754012
1155,8,20,0.03517613986781043,0.7349272253829986,13,0.0016452372388659747
1892,10,33,1.7737610214265998e-5,0.9413841426465661,8,0.011049021079831895
937,5,38,0.0012079296933718796,0.8934758742561097,17,0.016238853694859497
1931,6,6,0.00852198953968262,0.512465099071851,7,0.017344143497592578
779,6,9,5.253610484534739e-4,0.8528940165566746,15,0.03579831642396362
916,3,30,2.2767721834018807e-4,0.8483456883684266,13,0.012911286492483099
468,8,34,0.0034858949124025574,0.5600904240377713,15,0.001837420307754973
378,8,26,0.43208653589142065,0.791547939304728,4,0.007241125900862041
1816,9,8,4.3595283160067115e-5,0.6924373732507229,6,0.028418252846918988
727,9,13,2.0356244808607786e-4,0.7885511575394776,8,0.09307754194980637
386,8,22,0.0248305698356314,0.5488092520576902,11,0.012298284033819327
1746,6,30,0.0016378373452337722,0.5869411259039771,10,0.023527881085702827
861,4,28,8.44396578289955e-5,0.8758286733203567,13,0.0014844750789415801
1177,5,26,0.021666558887299146,0.5391415898827836,7,0.07411870659605854
1001,7,33,8.962648220216774,0.7590198427706492,5,0.015434659551529104
1983,5,7,14.69070706905519,0.932418382394826,6,0.014681864704740599
1474,4,32,0.003186736563116825,0.8842760770348832,7,0.06640436212291545
1989,6,23,0.018793755676685186,0.7054631012433674,7,0.0011609051463535825
1806,4,19,1.4808007186638992,0.907710467412835,6,0.0015734404062815043
1349,6,8,0.35777628289942215,0.9487839707429521,7,0.05921904219239292
1030,4,10,59.287590024910244,0.6244694317318499,15,0.005215187583196298
