variable,pct_missing
om_pct,0.2846310252201164
soilp_h,0.26549209073272645
soilk_ppm,0.2609964930607372
soilp_ppm,0.2609964930607372
previous_crop,0.12800328309207581
gs_dayl_s_mean,0.061595284285927476
gs_prcp_mm_total,0.061595284285927476
gs_srad_w_m_2_mean,0.061595284285927476
gs_tmax_deg_c_mean,0.061595284285927476
gs_tmin_deg_c_mean,0.061595284285927476
gs_vp_pa_mean,0.061595284285927476
gs_swe_kg_m_2_total,0.061595284285927476
gs_n_days,0.061595284285927476
longitude,0.0479965676764662
latitude,0.0479965676764662
date_planted,0.0479965676764662
date_harvested,0.0479965676764662
