year,site,hybrid,yield_mg_ha,n_plots,previous_crop,longitude,latitude,soilp_h,om_pct,soilk_ppm,soilp_ppm
2014,DEH1,B37/MO17,13.672477005000001,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B37/OH43,12.81081741,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B73/MO17,14.994130049999999,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B73/PHG35,12.366741629,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B73/PHM49,14.194203850000001,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B73/PHN82,13.12950788,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B73/TX205,12.55771235,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B73_NC230-041-1-1-1-1/LH195,9.472215271,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B73_NC230-126-1-1-1-1/LH195,10.914015181,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B73_NC230-127-1-1-1-1/LH195,11.90047555,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B73_NC230-128-1-1-1-1/LH195,11.559800865,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,B73_NC230-129-1-1-1-1/LH195,12.584204315000001,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,CG120/LH185,9.8511290615,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,CG60/LH162,10.449379089,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,CG60/LH82,10.8581160095,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,CG65/LH185,11.088022805000001,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,CGR01/LH185,11.86622709,1,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,CGR01/LH198,11.56843417,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
2014,DEH1,CGR01/LH82,12.716000900000001,2,Soybean,-75.204048,38.637405,NA,NA,NA,NA
