year,site,date_planted,date_harvested,gs_dayl_s_mean,gs_prcp_mm_total,gs_srad_w_m_2_mean,gs_tmax_deg_c_mean,gs_tmin_deg_c_mean,gs_vp_pa_mean,gs_swe_kg_m_2_total,gs_n_days
2014,DEH1,2014-05-05,2014-09-29,49638.64216216216,489.04,373.93554054054056,27.086824324324326,16.745675675675677,1951.6700675675675,0,148
2014,GAH1,2014-04-04,2014-09-11,48322.96857142857,652.6,384.02267080745344,30.65478260869565,18.750372670807455,2217.0391925465838,0,161
2014,IAH1,2014-05-09,2014-10-21,49050.072108433735,840.21,350.6745180722892,24.057048192771084,12.614638554216867,1533.0192168674698,0,166
2014,IAH2,2014-05-16,2014-10-26,48623.11414634146,783.46,349.84256097560973,24.039756097560975,12.411280487804879,1511.0765853658536,0,164
2014,IAH3,2014-05-20,2014-11-01,48087.34795180723,670.73,346.7557228915663,23.695722891566266,11.990361445783133,1483.6503614457831,0,166
2014,IAH4,2014-05-19,2014-10-28,48255.44116564417,735.02,351.99196319018404,24.932147239263802,13.188527607361964,1584.1527607361963,0,163
2014,ILH1,2014-05-06,2014-10-07,49528.12367741935,743.49,367.5352258064516,26.055548387096774,14.625032258064516,1720.6725161290324,0,155
2014,INH1,2014-05-25,2014-11-18,46534.520280898876,736.71,329.07994382022474,22.767415730337078,11.156404494382022,1447.481404494382,10.11,178
2014,MNH1,2014-05-16,2014-10-16,49784.42772727273,553.3,351.2092207792208,23.72733766233766,12.515844155844157,1524.9244805194805,0,154
2014,MOH1,2014-05-07,2014-10-22,48380.46958579882,837.59,363.28603550295855,25.936627218934913,14.846863905325444,1760.6659171597632,0,169
2014,MOH2,2014-05-05,2014-11-13,47093.48051813472,852.94,349.31766839378236,25.294145077720206,14.023316062176166,1713.4252331606217,0,193
2014,NCH1,2014-04-28,2014-10-08,48453.670853658536,865.24,373.1870731707317,29.267195121951218,18.42408536585366,2163.5010975609757,0,164
2014,NEH1,2014-05-16,2014-10-22,48644.74925,757.54,357.910875,26.74975,13.792875,1655.7475,0,160
2014,NEH2,2014-05-15,2014-11-05,47765.422685714286,500.13,378.63377142857144,25.81714285714286,10.433942857142858,1290.3458857142857,0,175
2014,NEH3,2014-05-14,2014-11-14,47198.177135135134,364.02,375.99313513513516,25.06345945945946,9.227405405405406,1162.917081081081,0,185
2014,NYH1,2014-05-29,2014-12-08,45251.570927835055,577.79,296.633969072165,19.22938144329897,8.914329896907217,1251.6661340206185,62.17,194
2014,NYH2,2014-05-27,2014-12-02,45744.80431578947,556.84,300.84994736842106,19.817105263157895,9.425315789473684,1282.2165789473684,12.440000000000001,190
2014,ONH1,2014-05-19,2014-11-04,48174.45605882353,562.31,335.79929411764704,21.031588235294116,10.02064705882353,1278.378,0,170
2014,ONH2,2014-05-27,2014-11-29,45926.13860962567,526.93,312.6560962566845,19.544385026737967,10.604064171122994,1387.7402139037433,44.94,187
2014,TXH1,2014-03-01,2014-08-21,47404.01436781609,475.79,407.02045977011494,29.37551724137931,16.987701149425288,2008.0974137931034,0,174
2014,TXH2,2014-04-23,2014-09-30,48547.55099378882,513.32,414.3013043478261,29.462670807453417,15.15416149068323,1595.4175155279504,0,161
2014,WIH1,2014-05-09,2014-10-28,48797.62312138728,693.74,352.15445086705205,23.029826589595377,11.198670520231214,1393.7961849710982,0,173
2015,DEH1,2015-04-29,2015-09-14,50337.725539568346,477.87,371.12510791366907,28.29230215827338,17.928273381294964,2107.9937410071943,0,139
2015,GAH1,2015-04-01,2015-08-26,48583.57358108108,531.66,385.08527027027026,30.997297297297298,19.505472972972974,2309.890135135135,0,148
2015,IAH1,2015-05-02,2015-10-09,49878.50459627329,904.92,354.93142857142857,25.079937888198756,13.897142857142857,1637.989751552795,0,161
2015,IAH3,2015-04-30,2015-10-01,50341.30238709677,682.49,362.30696774193547,25.251354838709677,13.724322580645161,1604.8969032258065,0,155
2015,IAH4,2015-05-01,2015-09-28,50323.76841059603,714.6899999999999,362.23774834437086,26.517350993377484,14.926754966887417,1743.9047682119206,0,151
2015,ILH1,2015-04-30,2015-10-02,49809.49237179487,724.26,370.92192307692306,26.81705128205128,15.270576923076923,1775.7913461538462,0,156
2015,INH1,2015-05-14,2015-10-15,49061.43670967742,580.84,365.5854838709677,26.111032258064515,14.303290322580645,1682.3718064516129,0,155
2015,KSH1,2015-04-23,2015-09-21,50092.381842105264,737.02,370.45467105263157,28.22592105263158,16.099802631578946,1893.7580921052631,0,152
2015,MNH1,2015-05-19,2015-11-10,47821.25988636364,709.82,328.21926136363635,23.204829545454544,11.580738636363636,1445.0435795454546,0,176
2015,MOH1,2015-05-04,2015-10-06,49313.75602564103,684.13,358.8961538461538,27.158589743589744,16.82602564102564,1970.1308974358974,0,156
2015,MOH2,2015-05-05,2015-10-02,49531.82940397351,684.13,360.2071523178808,27.37437086092715,17.040596026490068,1993.9041059602648,0,151
2015,NCH1,2015-04-28,2015-09-16,49402.21943661972,629.81,380.2885915492958,30.242112676056337,18.9912676056338,2255.629014084507,0,142
2015,NEH1,2015-06-09,2015-11-18,46022.2345398773,564.47,330.48484662576686,25.37730061349693,13.282269938650307,1629.3292024539878,0,163
2015,NEH2,2015-04-23,2015-10-26,48618.0356684492,452.13,374.67711229946525,25.56235294117647,11.24529411764706,1372.5413903743315,0,187
2015,NEH3,2015-06-10,2015-12-14,44218.430265957446,288.28,331.0013829787234,23.23101063829787,7.907712765957447,1185.5207978723404,28.62,188
2015,NEH4,2015-06-09,2015-11-18,46022.2345398773,564.47,330.48484662576686,25.37730061349693,13.282269938650307,1629.3292024539878,0,163
2015,NYH2,2015-05-07,2015-11-16,47436.30381443299,726.25,326.6534020618557,22.086185567010308,11.035463917525773,1384.6546391752577,0,194
2015,NYH3,2015-05-23,2015-11-18,46889.57172222222,612.64,321.7192777777778,21.968166666666665,11.002666666666666,1389.2053888888888,0,180
2015,OHH1,2015-05-21,2015-10-17,48683.5888,629.71,360.8782,25.641133333333332,14.115933333333333,1661.1152,0,150
2015,ONH1,2015-04-30,2015-10-15,49858.810177514795,418.68,367.5383431952663,22.92603550295858,10.997218934911242,1305.867573964497,42.34,169
2015,ONH2,2015-05-07,2015-10-12,49768.263018867925,408.16,355.21232704402513,23.472389937106918,13.852138364779874,1595.0730188679245,0,159
2015,SDH1,2015-05-22,2015-10-28,48760.557375,277.61,366.4305625,25.4729375,11.201875,1304.405,0,160
2015,TXH1,2015-03-07,2015-07-28,47616.629791666666,735.04,377.66430555555553,29.23173611111111,18.36798611111111,2204.1241666666665,0,144
